city_country,display_name,address,latitude,longitude,company
Zürich,Migros-Supermarkt - Zürich - Altstetten M-Express,"Hohlstrasse 600, 8048 Zürich, Switzerland",47.3913612,8.4877977,Migros
Zürich,Migros-Supermarkt - Zürich - Rigiplatz,"Winterthurerstrasse 2/4, 8006 Zürich, Switzerland",47.3860579,8.5486902,Migros
Zürich,Migros Supermarket Zürich Stadelhofen,"Falkenstrasse 19/21, 8008 Zürich, Switzerland",47.3654649,8.5479404,Migros
Zürich,Migros-Supermarkt - Zürich - Wollishofen,"Etzelstrasse 3, 8038 Zürich, Switzerland",47.34472220000001,8.53,Migros
Seeland,Migros-Supermarkt - Brügg - Centre Brügg,"Erlenstrasse 40, 2555 Brügg, Switzerland",47.119664,7.2670010000000005,Migros
Bern-Mittelland,Migros-Supermarkt - Bern - Marktgasse,"Marktgasse 46, 3011 Bern, Switzerland",46.948256199999996,7.4450370999999995,Migros
Bern-Mittelland,Migros-Supermarkt - Bern - Christoffel,"Christoffelunterführung, 3011 Bern, Switzerland",46.947798899999995,7.4401614,Migros
Bern-Mittelland,Migros-Supermarkt - Bern - Bahnhof,"Bahnhofpl. 10, 3011 Bern, Switzerland",46.9492666,7.4400441,Migros
Bern-Mittelland,Migros-Supermarkt - Bern - Zähringer,"Zähringerstrasse 43, 3012 Bern, Switzerland",46.95519240000001,7.433637,Migros
Bern-Mittelland,Migros-Supermarkt - Bern - Eigerplatz,"Seftigenstrasse 1, 3007 Bern, Switzerland",46.940081199999995,7.4318588000000005,Migros
Bern-Mittelland,Migros-Supermarkt - Bern - Westside,"Gilberte-de-Courgenay-Platz 4, 3027 Bern, Switzerland",46.9449134,7.374808,Migros
Bern-Mittelland,Migros-Supermarkt - Bern - Freudenberg,"Giacomettistrasse 15, 3006 Bern, Switzerland",46.9455765,7.4728372,Migros
Bern-Mittelland,Migros-Supermarkt - Bremgarten Kalchacker,"Kalchackerstrasse 9, 3047 Bremgarten bei Bern, Switzerland",46.9754099,7.4376392,Migros
Bern-Mittelland,Migros-Supermarkt - Bern - Bachmätteli,"Bottigenstrasse 7, 3018 Bern, Switzerland",46.939329099999995,7.3899224,Migros
Bern-Mittelland,Migros-Supermarkt - Schönbühl - Shoppyland,"Industriestrasse 10, 3321 Urtenen-Schönbühl, Switzerland",47.0167662,7.492006299999999,Migros
Bern-Mittelland,Migros-Supermarkt - Bern - Breitenrain,"Breitenrainstrasse 11, 3013 Bern, Switzerland",46.958162699999995,7.4539235,Migros
Bern-Mittelland,Migros-Supermarkt - Bern - Welle 7,"Schanzenstrasse 5, 3000 Bern, Switzerland",46.9480435,7.4369451,Migros
Bern-Mittelland,Migros-Supermarkt - Bern - Winkelried,"Wankdorffeldstrasse 71, 3014 Bern, Switzerland",46.965804899999995,7.4635238,Migros
Bern-Mittelland,Migros-Supermarkt - Bern Westflügel,"Bethlehemstrasse 40, 3027 Bern, Switzerland",46.9467745,7.3953525,Migros
Bern-Mittelland,Migros-Supermarkt,"Riedbachstrasse 10, 3027 Bern, Switzerland",46.947531999999995,7.383285,Migros
Bern-Mittelland,Migros-Supermarkt - Bern Burgernziel,"Thunstrasse 110, 3006 Bern, Switzerland",46.9414209,7.4658915,Migros
Bern-Mittelland,Migros-Supermarkt - Bern - Kirchenfeld,"Thunstrasse 18, 3005 Bern, Switzerland",46.9422743,7.4530603,Migros
Bern-Mittelland,Migros-Supermarkt - Bern - Egghölzli,"Egghölzlistrasse 1/1a, 3006 Bern, Switzerland",46.9370092,7.4752000999999995,Migros
Bern-Mittelland,Migros-Supermarkt - Bern - Bubenberg,"Bubenbergpl. 8, 3008 Bern, Switzerland",46.947689,7.438133099999999,Migros
Bern-Mittelland,Migros-Supermarkt - Hinterkappelen - Chappelemärit,"Kappelenring 2, 3032 Wohlen bei Bern, Switzerland",46.966800899999996,7.376615800000001,Migros
Oberaargau,Migros-Supermarkt - Langenthal,"Wiesenstrasse 28, 4900 Langenthal, Switzerland",47.214395599999996,7.7841552,Migros
Biel/Bienne,Migros-Supermarkt - Biel - Neumarkt,"Kanalgasse 36/38, 2502 Biel, Switzerland",47.1406364,7.247507099999999,Migros
Biel/Bienne,MIGROS,"Bahnhofstrasse 15, 2502 Biel, Switzerland",47.1349616,7.244240899999999,Migros
Biel/Bienne,Migros-Supermarkt - Biel - Madretsch,"Brüggstrasse 5, 2503 Biel, Switzerland",47.1318201,7.2524534,Migros
Biel/Bienne,Migros-Supermarkt - Biel - Bözingen,"Schlösslistrasse 7, 2504 Biel, Switzerland",47.152062,7.2673670999999995,Migros
Biel/Bienne,VOI Biel - Mett,"Scholl-Strasse 2, 2504 Biel, Switzerland",47.1426904,7.272007400000001,Others
Emmental,Migros-Supermarkt - Langnau i.E.,"Schlossstrasse 1a, 3550 Langnau im Emmental, Switzerland",46.9397291,7.7877383,Migros
Jura bernois,Supermarché Migros - Tramelan,"Rue Albert-Gobat 1, 2720 Tramelan, Switzerland",47.223468399999994,7.0996993,Migros
Jura bernois,Supermarché Migros - Saignelégier,"Rue de la Gruère 23, 2350 Saignelégier, Switzerland",47.25443,7.000641,Migros
Jura bernois,Supermarché Migros - Tavannes,"Rte de Pierre Pertuis 11, 2710 Tavannes, Switzerland",47.2192623,7.197643200000001,Migros
Jura bernois,Supermarché Migros - Moutier,"Rue de l'Écluse 1, 2740 Moutier, Switzerland",47.2768934,7.370145699999999,Migros
